Energy particles 
eV  count 

***************** ISInCa - Ion Surface Interaction Calculator v2024.1.1 *****************
*               by mauveferret@gmail.com from "Plasma physics" dep., MEPhI               *
******************************************************************************************
*           Calculated with SDTrimSP. ISInCa postprocessing id SDTrimSP__6216            *
*      Postprocessing started at 2024-02-27 at 22:16:09 MSK. Main input parameters:      *
*          Ne beam with E0 = 2000.0 eV at polar angle 67.5 degrees from normal           *
*                 azimuth angle 0.0 degrees with doze 50000000 particles                 *
*                                     target of  HW                                      *
******************************************************************************************
*          E step 10.0 eV  beta 67.5 deg dBeta 2.0 deg phi 0.0 deg dPhi 2.0 deg          *
******************************************************************************************

*                              calculated  for all elements                              *
******************************************************************************************
0,00 44674.000
10,00 10889.000
20,00 5157.000
30,00 3527.000
40,00 2802.000
50,00 2344.000
60,00 2054.000
70,00 1894.000
80,00 1661.000
90,00 1539.000
100,00 1505.000
110,00 1500.000
120,00 1474.000
130,00 1417.000
140,00 1443.000
150,00 1596.000
160,00 1849.000
170,00 2722.000
180,00 2899.000
190,00 2339.000
200,00 1499.000
210,00 1208.000
220,00 1123.000
230,00 916.000
240,00 831.000
250,00 790.000
260,00 600.000
270,00 570.000
280,00 482.000
290,00 409.000
300,00 481.000
310,00 550.000
320,00 484.000
330,00 441.000
340,00 357.000
350,00 265.000
360,00 196.000
370,00 166.000
380,00 119.000
390,00 116.000
400,00 120.000
410,00 95.000
420,00 123.000
430,00 92.000
440,00 61.000
450,00 66.000
460,00 67.000
470,00 52.000
480,00 50.000
490,00 48.000
500,00 36.000
510,00 45.000
520,00 24.000
530,00 26.000
540,00 17.000
550,00 30.000
560,00 26.000
570,00 29.000
580,00 20.000
590,00 19.000
600,00 21.000
610,00 26.000
620,00 12.000
630,00 10.000
640,00 16.000
650,00 20.000
660,00 14.000
670,00 12.000
680,00 16.000
690,00 12.000
700,00 30.000
710,00 22.000
720,00 18.000
730,00 28.000
740,00 22.000
750,00 26.000
760,00 38.000
770,00 31.000
780,00 36.000
790,00 21.000
800,00 34.000
810,00 29.000
820,00 36.000
830,00 33.000
840,00 42.000
850,00 31.000
860,00 39.000
870,00 48.000
880,00 37.000
890,00 46.000
900,00 61.000
910,00 49.000
920,00 55.000
930,00 59.000
940,00 58.000
950,00 69.000
960,00 65.000
970,00 76.000
980,00 66.000
990,00 57.000
1000,00 67.000
1010,00 85.000
1020,00 81.000
1030,00 91.000
1040,00 81.000
1050,00 93.000
1060,00 82.000
1070,00 90.000
1080,00 119.000
1090,00 118.000
1100,00 118.000
1110,00 118.000
1120,00 111.000
1130,00 113.000
1140,00 142.000
1150,00 135.000
1160,00 142.000
1170,00 131.000
1180,00 132.000
1190,00 162.000
1200,00 145.000
1210,00 144.000
1220,00 147.000
1230,00 149.000
1240,00 173.000
1250,00 156.000
1260,00 186.000
1270,00 188.000
1280,00 193.000
1290,00 195.000
1300,00 245.000
1310,00 220.000
1320,00 218.000
1330,00 237.000
1340,00 244.000
1350,00 236.000
1360,00 270.000
1370,00 256.000
1380,00 264.000
1390,00 281.000
1400,00 254.000
1410,00 258.000
1420,00 301.000
1430,00 289.000
1440,00 302.000
1450,00 340.000
1460,00 304.000
1470,00 310.000
1480,00 344.000
1490,00 350.000
1500,00 353.000
1510,00 376.000
1520,00 350.000
1530,00 378.000
1540,00 381.000
1550,00 368.000
1560,00 367.000
1570,00 401.000
1580,00 401.000
1590,00 409.000
1600,00 414.000
1610,00 426.000
1620,00 397.000
1630,00 407.000
1640,00 393.000
1650,00 468.000
1660,00 422.000
1670,00 458.000
1680,00 444.000
1690,00 485.000
1700,00 456.000
1710,00 434.000
1720,00 478.000
1730,00 496.000
1740,00 480.000
1750,00 475.000
1760,00 509.000
1770,00 541.000
1780,00 529.000
1790,00 569.000
1800,00 578.000
1810,00 572.000
1820,00 671.000
1830,00 678.000
1840,00 712.000
1850,00 883.000
1860,00 1121.000
1870,00 1581.000
1880,00 1198.000
1890,00 343.000
1900,00 215.000
1910,00 140.000
1920,00 84.000
1930,00 47.000
1940,00 9.000
1950,00 1.000
1960,00 0.000
1970,00 0.000
1980,00 0.000
1990,00 0.000
2000,00 0.000
