Energy particles 
eV  count 

***************** ISInCa - Ion Surface Interaction Calculator v2024.3.7 *****************
*               by mauveferret@gmail.com from "Plasma physics" dep., MEPhI               *
******************************************************************************************
*          Calculated with SDTrimSP. ISInCa postprocessing id SDTrimSP_0.0_9012          *
*      Postprocessing started at 2025-01-26 at 11:34:20 UTC. Main input parameters:      *
*          Ne beam with E0 = 11000.0 eV at polar angle 0.0 degrees from normal           *
*                azimuth angle 0.0 degrees with doze 100000000 particles                 *
*                                    target of  W Cr                                     *
******************************************************************************************
*          E step 2.0 eV  beta 32.0 deg dBeta 1.0 deg phi 0.0 deg dPhi 180.0 deg         *
******************************************************************************************

*                              calculated  for Ne elements                               *
******************************************************************************************
0.00 0.000
2.00 0.000
4.00 0.000
6.00 0.000
8.00 0.000
10.00 0.000
12.00 0.000
14.00 0.000
16.00 0.000
18.00 0.000
20.00 0.000
22.00 0.000
24.00 0.000
26.00 0.000
28.00 0.000
30.00 0.000
32.00 0.000
34.00 0.000
36.00 0.000
38.00 0.000
40.00 0.000
42.00 0.000
44.00 0.000
46.00 0.000
48.00 0.000
50.00 0.000
52.00 0.000
54.00 0.000
56.00 0.000
58.00 0.000
60.00 0.000
62.00 0.000
64.00 0.000
66.00 0.000
68.00 0.000
70.00 0.000
72.00 0.000
74.00 0.000
76.00 0.000
78.00 0.000
80.00 0.000
82.00 0.000
84.00 0.000
86.00 0.000
88.00 0.000
90.00 0.000
92.00 0.000
94.00 0.000
96.00 0.000
98.00 0.000
100.00 0.000
102.00 0.000
104.00 0.000
106.00 0.000
108.00 0.000
110.00 0.000
112.00 0.000
114.00 0.000
116.00 0.000
118.00 0.000
120.00 0.000
122.00 0.000
124.00 0.000
126.00 0.000
128.00 0.000
130.00 0.000
132.00 0.000
134.00 0.000
136.00 0.000
138.00 0.000
140.00 0.000
142.00 0.000
144.00 0.000
146.00 0.000
148.00 0.000
150.00 0.000
152.00 0.000
154.00 0.000
156.00 0.000
158.00 0.000
160.00 0.000
162.00 0.000
164.00 0.000
166.00 0.000
168.00 0.000
170.00 0.000
172.00 0.000
174.00 0.000
176.00 0.000
178.00 0.000
180.00 0.000
182.00 0.000
184.00 0.000
186.00 0.000
188.00 0.000
190.00 0.000
192.00 0.000
194.00 0.000
196.00 0.000
198.00 0.000
200.00 0.000
202.00 0.000
204.00 0.000
206.00 0.000
208.00 0.000
210.00 0.000
212.00 0.000
214.00 0.000
216.00 0.000
218.00 0.000
220.00 0.000
222.00 0.000
224.00 0.000
226.00 0.000
228.00 0.000
230.00 0.000
232.00 0.000
234.00 0.000
236.00 0.000
238.00 0.000
240.00 0.000
242.00 0.000
244.00 0.000
246.00 0.000
248.00 0.000
250.00 0.000
252.00 0.000
254.00 0.000
256.00 0.000
258.00 0.000
260.00 0.000
262.00 0.000
264.00 0.000
266.00 0.000
268.00 0.000
270.00 0.000
272.00 0.000
274.00 0.000
276.00 0.000
278.00 0.000
280.00 0.000
282.00 0.000
284.00 0.000
286.00 0.000
288.00 0.000
290.00 0.000
292.00 0.000
294.00 0.000
296.00 0.000
298.00 0.000
300.00 0.000
302.00 0.000
304.00 0.000
306.00 0.000
308.00 0.000
310.00 0.000
312.00 0.000
314.00 0.000
316.00 0.000
318.00 0.000
320.00 0.000
322.00 0.000
324.00 0.000
326.00 0.000
328.00 0.000
330.00 0.000
332.00 0.000
334.00 0.000
336.00 0.000
338.00 0.000
340.00 0.000
342.00 0.000
344.00 0.000
346.00 0.000
348.00 0.000
350.00 0.000
352.00 0.000
354.00 0.000
356.00 0.000
358.00 0.000
360.00 0.000
362.00 0.000
364.00 0.000
366.00 0.000
368.00 0.000
370.00 0.000
372.00 0.000
374.00 0.000
376.00 0.000
378.00 0.000
380.00 0.000
382.00 0.000
384.00 0.000
386.00 0.000
388.00 0.000
390.00 0.000
392.00 0.000
394.00 0.000
396.00 0.000
398.00 0.000
400.00 0.000
402.00 0.000
404.00 0.000
406.00 0.000
408.00 0.000
410.00 0.000
412.00 0.000
414.00 0.000
416.00 0.000
418.00 0.000
420.00 0.000
422.00 0.000
424.00 0.000
426.00 0.000
428.00 0.000
430.00 0.000
432.00 0.000
